id,Question,Answer
31,What are the fundamental stages of the MIVES method?,The MIVES method consists of three fundamental stages
32,What is found at each level of the decision tree?,"The first level of the decision tree consists of the most general and qualitative issues - requirements - that incorporate the three basic sustainability pillars, the middle level consists of the criteria for structuring the plan, and the last level consists of the most specific and quantitative parameters - indicators."
33,What are the five steps of the procedure for determining the SIs of each alternative?,"The five steps of the procedure for determining the SIs of each alternative include DT designing, tendency definition (increasing or decreasing), Xmin and Xmax point determinations, shape definition for VFs, and mathematical expression utilization."
34,How are weights or relative importance coefficients calculated for each branch of the DT?,"Weights or relative importance coefficients for each branch of the DT are calculated by calculating the weights for each requirement, then within each requirement, weights for the related criteria are determined, and then a similar procedure is used for each criterion to determine the relevant indicators' weights."
35,Who are the experts in the principal panel?,"The experts in the principal panel consist of a professor founder of the architectural technology field in Iranian academic organization; a deputy and a consultant from the Tehran mayor’s office in urbanization and urban services fields; six senior managers from the Tehran city government in the fields of architecture & construction, codification of rules & regulations, construction supervision, detailed urban plans, urban planning, and environmental organization; a researcher from the Tehran Urban Research & Planning Center; and two leading experts from the Tehran municipality in the field of sustainable development."
36,What is the purpose of the final sensitivity analysis?,The purpose of the final sensitivity analysis
39,What is the general formula applied to each DT level?,The general formula applied to each DT level is Equation (1)
40,What are the factors λi used in Equation (1)?,"Factors λi used in Equation (1) refer to indicators, criteria, and requirements weights when calculating criteria values, requirements values, and global sustainability indexes, respectively."
41,What is the general expression of the MIVES VF?,The general expression of the MIVES VF is shown in Equation (2).
42,What type of forms can VFs take?,"VFs can take on a variety of forms, including concave, linear, convex, and S-shaped."
43,What is the purpose of the parameter definition in Table 1?,The parameter definition in Table 1 is to shape value functions.
44,What is meant by the Xmin-Xmax parameter?,The Xmin-Xmax parameter is the assessed indicator's minimum and maximum abscissa values.
45,What is the contribution of MIVES to the new tool in this study?,The contribution of MIVES to establish the proposed new tool in this study is served in the corresponding section 3.3.
46,What simplified LCA method is incorporated into the model?,The simplified LCA incorporated into the model is based on ISO 14040
47,What is the main objective of PV technology?,The main objective of PV technology is to capture solar energy to directly generate electricity.
48,What was the observation made by Alexandre-Edmund Becquerel in 1839?,Alexandre-Edmund Becquerel observed the photovoltaic effect which absorbs photons and releases free electrons through a light-absorbing material presented within the cell structure.
49,What factors affect the efficiency of solar systems?,"Solar radiation intensity, total horizontal irradiance on the screen surface, ambient temperature, panel surface area, electronic converter efficiency and solar cell efficiency."
50,When did the first generation of solar cells achieve 6% efficiency?,The first generation of solar cells achieved 6% efficiency in the late 1940s.
51,What are the main solar cell types?,"The main solar cell types are crystalline, thin film, and nanotechnology."
52,What are the positive parameters to define the module performance?,Positive parameters to define the module performance are efficiency and fill factor.
53,What is the ratio of highest power (that solar PV can generate) to the input power (from the sunlight radiation) called?,This ratio is called efficiency.
54,What is the ratio of maximum power to the theoretical power called?,This ratio is called fill factor.
55,What is the basic concept of PV/T systems?,The basic concept of PV/T systems is to use the waste heat from solar cells that is generated when most of the incident sunlight is converted into heat.
56,How does the use of thermal collectors improve the power generation efficiency of PV modules?,The use of thermal collectors can reduce the temperature of the PV modules and thus enhance their durability and improve power generation efficiency.
57,What is the total efficiency of PV/T systems?,The total efficiency (ET) of PV/T systems is obtained from the aggregation of electrical efficiency (Eele) and thermal efficiency (Eth).
58,How does the temperature of solar cells affect their electrical efficiency?,The high temperature of solar cells decreases their electrical efficiency as far as the increase in PV cell temperature – higher than 25 ◦C – causes a nearly 0.45% decrease per ◦C.
59,What are the potential impacts of hybrid PV/T systems?,"Hybrid PV/T systems have potential benefits such as space usage optimization, roof architectural uniformity, installation cost and time reduction, smaller raw materials consumption, and low maintenance requirements."
60,What are the drawbacks of PV/T technology?,"The main drawbacks of PV/T technology include the high initial cost, limited commercial and market potential, low degree thermal output, lack of energy generation stability, and weakness of benefits awareness."
61,What accounts for approximately one third of global energy use and one fifth of global GHG emissions?,The building industry.
62,When did solar PV technology start being used on buildings?,In the 1970s.
63,What is peak kilowatts (kWp)?,Peak kilowatts (kWp) is a measure of the expected delivery of electrical power in case the sun is directly located overhead on a clear day.
64,What components make up PV systems?,"PV systems are made up of cells, connections, and devices for modifying the output electricity."
65,What is an on-grid system?,"An on-grid system is a small solar power plant composed of a PV array, which is a full power generation system made up of numerous photovoltaic panels and modules."
66,What are the two approaches for buildings to utilize PV/PVT technology?,The two approaches for buildings to utilize PV/PVT technology are building attached photovoltaic/thermal-photovoltaic (BAPV/BAPVT) and building integrated photovoltaic/thermal-photovoltaic (BIPV/BIPVT).
69,What is the importance of angle of panels when it comes to removing snow loads?,The proper angle of panels can usually remove snow loads.
70,What are the effects of shading on maximum exposure to solar radiation?,"The most important effect of shading results in the prevention of receiving maximum exposure to the sun – and consequently, energy efficiency losses – that occur in the case of horizontal shading."
71,What effect does creating a separation between panels and nearby walls have on efficiency?,Creating a separation between panels and nearby walls can increase efficiency via creating air circulation to move heat away from solar cells.
75,What is the land area of Tehran?,Tehran has a land area of 615 square kilometers.
76,What is the average daily solar radiation in Tehran?,The average daily solar radiation is 5.3 kWh/m2.
77,What are the most critical aspects connected to air pollution in Tehran?,"Population growth, industrialization, urbanization, and increases in fossil fuel use are the most critical aspects connected to air pollution in Tehran."
78,How many sunny days does Iran usually receive each year?,Iran usually receives between 1800-2400 kWh/m2 of solar irradiance each year.
79,What are the main provider sources of electrical energy in Iran?,"The main provider sources of electrical energy in Iran are fossil fuels (94 %), while hydro generates nearly 6 % and other renewable energy resources produce less than 1 %."
80,What is the average solar radiation in Iran?,The average solar radiation in Iran is 1800–2200 kWh/m2.
81,What goals has the Iranian government prioritized within its five-year development plan frameworks?,The Iranian government has prioritized renewable energy development and CO2 emission reduction as key goals within its fifth and sixth five-year development plan frameworks.
82,What are some of the support policies that have been adopted to develop PV technologies in Iran?,"Some of the support policies that have been adopted to develop PV technologies in Iran are revised FIT, national development funds to finance renewable energy projects, budget to purchase electrical energy from renewable resources, and job creation support in this field."
83,What kind of short-term support strategies are commonly used for,
86,What is the main reason for this study focusing on BAPV/BAPVT systems rather than BIPV/BIPVT?,The main reason is that Tehran's mostly flat rooftops could not take advantage of BIPV/BIPVT capability of adapting to more irregular surfaces such as complex shaped façades and pitched roofs.
87,Why are grid-connected solar generators favored in buildings instead of stand-alone/off-grid ones?,"Grid-connected solar generators are favored due to the Iranian government policies, incentives, and subsidies."
88,What project does this paragraph focus on?,This paragraph focuses on a project involving mono-crystalline (m-Si) technology for PV systems.
89,Why is mono-crystalline (m-Si) technology for PV systems used for this project?,This technology is used for this project because it is the most commonly available in the market and achieves the highest performance in terms of efficiency and fill factor.
90,What type of solar system is considered in this research project?,The solar system in this research project is considered a flat plate.
91,What are some advantages of a flat plate solar system?,"Advantages of a flat plate solar system include higher availability on the market, lower initial and maintenance cost, and an uncomplicated mechanism compared to concentrator collectors."
94,What is the expected lifetime of project expectancy?,The expected lifetime of project expectancy is 25 years on average.
95,What is the minimum efficiency of Silicon crystalline PV modules according to Iranian requirements and policies?,The minimum efficiency of Silicon crystalline PV modules is expected to be 16 % according to Iranian requirements and policies.
96,What is the maximum allowed capacity for the subscribers allocated generators?,The maximum allowed capacity for the subscribers allocated generators is up to twice their connection capacity – and will be a maximum of 100 kW.
97,How can a PV array be mounted to achieve optimum performance throughout the year?,A PV array should be mounted at nearly the location latitude angle towards the south to achieve optimum performance throughout the year.
98,What type of PV system is being employed in this current project?,"The PV system employed in the current project is a BAPV/BAPVT, on-grid, flat plate system composed of m-Si PV panels, water-based and uncovered PV/T."
99,What other components are included in the studied PV array?,"The studied PV array includes a 5-kWp domestic power plant, copper absorbing plate, copper fluid flow pipes, polyurethane insulation, and 1 mm galvanized iron back end cover."
100,What is the solar irradiance abundance in Tehran?,"Solar irradiance abundance in Tehran is due to the climatic condition (Firouzjah, Oct. 2018; Korsavi et al., Feb. 2018)."
101,What are the benefits of solar system utilization?,"Benefits of solar system utilization include energy bill and financial savings via self-sufficiency, governmental policies, incentives, and subsidies, low operation and maintenance cost, building revitalization and the use of vast amounts of unused space, and increased energy security ("
102,What are the potential benefits of the fast and upward technological advancement to improve efficiency and reduce the cost of modules?,These advancements can help reduce the cost of modules and increase efficiency in order to achieve better performance.
105,What are the main obstacles to the wider utilization of solar energy in Iran?,"The main obstacles are considerable energy consumption and carbon footprint during solar cells manufacturing, high subsidized energy price in Iran, public awareness weakness, insufficient national standards & building codes, limited access to"
106,What is the SWOT matrix that analyses the feasibility of BAPV and BAPV/T for residential buildings in Tehran?,The SWOT matrix that analyses the feasibility of BAPV and BAPV/T for residential buildings in Tehran is based on a simplified literature review as well as experts’ panel contributions.
107,What are the aims of the decision tree model?,"The aims of the decision tree model are to provide planning for rooftop alternatives towards better urban air quality, to determine the importance of the indexes, and to rely"
108,What role can solar systems have in micro/macro climatic changes?,"Solar systems can have different roles in micro/macro climatic changes, affected by different parameters such as energy conversion, making shadow space on the ceil, decreasing domestic fossil fuels combustion, etc."
109,What performance indicator is used to evaluate the investment profitability over a time period?,"The performance indicator used to evaluate the investment profitability over a time period is the one maintained, which had been discarded in the previous GR study."
110,What are the three indicators included in the criterion Cost (C1)?,"(I1) Implementation cost, (I2) Maintenance cost, and (I3) Return on Investment (ROI)."
111,What does (I1) Implementation cost comprise?,"(I1) Implementation cost includes panel pieces, electrical and mechanical accessories, and connections costs, as well as labour and skilled workers’ salaries."
112,What are the maintenance costs estimated for the solar system?,"The maintenance cost has been estimated to encompass costs of expected activities such as cleaning of panels' surface, inspection, and accessories replacement for a 25 year life service."
113,What is the average capital cost to mount each square metre of the solar system?,The average capital cost to mount each square metre of this solar system has been estimated.
114,What is the role of climatical shading effect in PV panel installation?,"The climatical shading effect such as cloudy times should be considered when installing PV panels, as it affects the efficiency of the investment over the 25-year service time of the PV panels."
115,What is Weighted Average Cost of Capital (WACC)?,"Weighted Average Cost of Capital (WACC) is a metric used to measure the cost of capital in mature renewable energy markets, which has improved and declined in the recent decade due to very low-risk premiums."
116,"What is the WACC for non-OECD countries, except for China, for utility-scale renewable power generation technologies?","The WACC for non-OECD countries, except for China, for utility-scale renewable power generation technologies is 7.5%."
117,What is the exchange rate used to determine from Rials to Euros?,The exchange rate used to determine from Rials to Euros is the Iranian Central Bank’s official rate.
118,What is the indicator that takes into account the hours for installation activities?,The indicator that takes into account the hours for installation activities is the Implementation Time (C2).
119,What is the resource consumption (C3) comprised of?,C3 consists of two indicators
120,What is an advantage of using the Inventory of Carbon and Energy (ICE) database?,"The ICE database provides favourable advantages compared to others and follows a cradle-to-gate (factory) scope known as module A1–A3 in the EU-wide standards, EN 15804, and EN 15,978 on the construction field sustainability assessment."
121,What are the potential data considered for recycling solar panels?,"The potential data for recycling solar panels is derived from Iranian guidelines (“Environmental, Health and Safety Guideline for Photovoltaic Solar Power Plants, No. 785, Last Edition"
122,What are the approaches to modules’ recycling in Iran?,
123,What does the C4 criterion include?,The C4 criterion includes three indicators
124,How is the CO2 balance calculated?,The CO2 balance is calculated by determining the difference between the amount of CO2 saved/reduced via renewable energy generation during the service time and the amount of CO2 emitted during the fabrication of PV/PVT panels.
127,What emission factor does EMEP/EEA air pollutant emission inventory guidebook 2019 use?,"EMEP/EEA air pollutant emission inventory guidebook 2019 use an emission factor of 0.9 g/GJ for public electricity production using natural gas, and 0.2 g/GJ for residential boilers burning natural gas."
128,What is the PM reduction indicator intended to measure?,The PM reduction indicator is intended to measure the capacity of each square meter of solar panels to reduce ambient PM via energy production potential.
131,What is ORI derived from?,"ORI is derived by Equation (8), where ORIi is the ORI of riski, Pi is the occurrence probability, Ci is the consequence severity, and Ei is the riski exposure."
132,What are the parameters and coefficients associated with Indicator I1?,The parameters and coefficients associated with Indicator I1 are Unit
133,"What is the product of frequency, severity, and exposure?","The product of frequency, severity, and exposure determines the cumulative risk."
134,How is frequency usually measured?,Frequency is usually measured in incident rates.
135,What are the most frequent injuries in electrical works especially under wet conditions?,Hand and back injuries due to hand contact with sharp parts and handling of loads such as solar panels and structural supports are the most frequent injuries in electrical works especially under wet conditions.
136,What is considered one of the most usual dangers as a general risk on construction sites?,Falling to a lower or the same level is considered one of the most usual dangers as a general risk on construction sites.
137,What two indicators make up the Compatibility (C6) measure?,The two indicators that make up the Compatibility (C6) measure are Customization Potential (I11) and Adaptability to Change (I12).
138,What parameters does Adaptability to Change (I12) take into consideration?,"Adaptability to Change (I12) takes into consideration parameters such as potential of disassembling, replacement, ability to move, and access to service."
140,What materials make up Iranian PV modules?,"Iranian PV modules consist of 76% glass, 10% polyethylene, 8% aluminum, 5% silicon, and less than 1% of other materials."
141,What are the parameters associated with the VF of each indicator?,"The parameters associated with the VF of each indicator are Xmin, Xmax, C, K, and P."
142,What are the shapes of functions used in this study?,"The shapes of functions used in this study are six decreased, including three convex functions (DCx), one concave (DCv), one linear (DL), and one S-shaped (DS); six increased, including four concave functions (ICv) and two S-shaped ones (IS)."
143,How does each graph depict the value function?,"Each graph indicates the abscissa between the minimum and maximum satisfaction values for assessed alternatives, as well as the VF’s shape and relevant coefficient parameters (P, K, and C)."
144,What are the most significant drawbacks of BAPV?,The most significant drawback is inadequate energy generation efficiency.
145,What is an advantage of BAPV/T compared to BAPV?,BAPV/T provides more appropriate performance concerning the air pollution reduction issue by obtaining a higher satisfaction value for the emissions criterion.
146,What is the most important GHG in this case study?,CO2 is the most important GHG in this case study.
147,What is the PM reduction potential of BAPV and BAPV/T?,"The PM reduction potential of BAPV and BAPV/T is 1.2 and 1.9 g PM/m2 per year, respectively."
148,What are the sources used to obtain the data for the indicators assessed?,"Different sources have been used to obtain the data for the indicators assessed, such as international databases (ICE and EMEP/EEA) and case studies."
149,What are the economic benefits of solar systems?,"Solar systems have lower operation and maintenance costs, as well as potentially higher returns on investment, which can compensate for its higher initial capital costs."
150,What are the two approaches taken into account to develop SIs?,The two approaches taken into account to develop SIs are financial and technical contexts.
151,What limitations are present in the current study?,The limitation present in the current study is the lack of a comprehensive national database.
154,What is the expected benefit from installing a BAPV/T installation?,The expected benefit is an increase in the BAPV/T index value up to 60.5% and more environmental benefits with a higher potential to reduce air pollution.
155,What is the feasibility of proposing a subsidy for private solar systems?,"The feasibility of proposing a subsidy for private solar systems is high since the amounts of generated electricity and produced thermal energy have linear relation together, the electrical and thermal efficiency of each system is known, and SATBA certified companies are allowed to install and inspect private solar systems."
156,What are the advantages of using an organic solar cell?,"Organic solar cells have significantly higher SIs, require a small amount of material, have a higher energy and CO2 balance, lower waste disposal and CPBT, have mechanical flexibility that can improve customization potential, and provide a cost-effective manufacturing process."
157,What are the advantages of using organic materials for organic solar cell production?,"Organic materials are low-cost raw materials with limited technical challenges for production, which can lead to further improvement of the cost criterion."
160,What are the components of the model designed by the authors?,"The model designed by the authors incorporates MIVES, SWOT, AHP, and sensitivity analysis."
161,What distinguishes solar systems as more environmentally friendly solutions than GRs?,"Solar systems have a remarkable CO2 saving potential and energy production capability, which distinguishes them as more environmentally friendly solutions than GRs."
162,What is the overall sustainability value earned by BAPV?,The overall sustainability value earned by BAPV is 60.47%.
163,How much reduction in PM emissions can BAPV/T provide?,BAPV/T can provide a reduction of 1.9 g PM/m2 per year.
164,What is crystalline silicon?,Crystalline silicon is the first generation of PV technology that consists of single-junction crystal solar cells based on silicon wafers.
165,What is the purpose of the multidisciplinary experts from the seminars?,The purpose of the multidisciplinary experts from the seminars was to provide their input and expertise to the research reported in this paper.
166,What are the two PV types generally categorized?,The two PV types generally categorized are mono/single (m-Si) and poly/multi-crystalline (p-Si).
167,What is the most common PV type?,"The most common PV type is mono-crystalline, accounting for nearly 66% of the whole production."
168,What materials are utilized in thinner films in thin-film technology?,"Thin-film technology utilizes thinner films produced via the deposition of thin layers on glass or stainless-steel substrates, using sputtering tools."
169,What are the effects of thin-film technology when compared to c-Si cells?,"Although thin-film technology has improved efficiency significantly, since its layers are much thinner and contain less photovoltaic material, the light absorption is reduced and consequently results in lower conversion efficiency compared with c-Si cells."
172,What is nanotechnology used for in Third-generation PV technologies?,"Nanotechnology is used for low-cost but low efficiency PV cells, in order to improve efficiency, such as nanotubes, quantum dots, and hot-carrier solar cells that can absorb more solar radiation."
173,Who was awarded the 2010 millennium technology prize?,Michael Gratzel was awarded the 2010 millennium technology prize for his invention of dye-sensitized solar cell (DSSC).
174,What are the advantages of using organic solar cells?,"The advantages of using organic solar cells include disposability, mechanical flexibility, affordability of the manufacturing process, high optical absorption coefficient of organic molecules, and the ability to absorb a large amount of solar radiation with a small amount of material."
175,Why is this technology not suitable for outdoor usage?,This technology is not suitable for outdoor usage because the volatile solvents in the electrolyte can permeate across plastic and result in sealing and potential environmental hazards problems.
176,What are the main challenges associated with OSC?,"The main challenges associated with OSC are low efficiency, low strength, and low stability compared with the others, such as silicon solar cells."
177,What are the two categories of conventional flat plate PV/T collectors?,The two categories of conventional flat plate PV/T collectors are liquid-based and air-based types.
178,What is the difference between air-based and water-based PV/T systems?,"Water-based PV/T systems have higher and more stable overall thermal and electrical performance compared with air-based systems due to its higher heat-carrying capacity, density, and conductivity."
179,What are the advantages of unglazed PV/T collectors?,"Unglazed PV/T collectors have higher total efficiency and are beneficial in economic terms. Additionally, they enable PV surfaces to stay cool which results in a longer life service."
180,What are the current studies optimizing the performance and development of PV/T systems?,"Several studies in progress are optimizing the performance and development of conventional PV/T systems (Barone et al., Jul. 2019; Sathe and Dhoble, Sep. 2017)."
181,What are some advanced concepts of PV/T technology?,"Some recent research projects have introduced a few advanced concepts of PV/T technology, such as nanofluid, phase change materials (PCM), and heat pump integration systems (Diwania et al., Mar. 2020; Jia et al., Mar. 2019; Sathe and Dhoble, Sep. 2017)."
182,"What is the CO2 saving and emission rate reported in the ICE database (Hammond et al., 2011)?",5277 Pos. kgCO2 /m2.
183,"What is the GHG impact compensation speed reported in a literature review (Tripanagnostopoulos et al., May 2005; Noorpoor and Kudahi, Jul. 2015)?",1.1 Neg. Year.
184,"What is the PM emission reduction potential reported in the EMEP/EEA database (“EMEP/EEA air pollutant emission inventory guidebook, 2019) and in literature review (Jorli et al., Dec.",
185,What is Tehran Annual Air and Noise Quality Report?,"The Tehran Annual Air and Noise Quality Report is a comprehensive assessment of Tehran’s air quality, providing information on the spatial and temporal variations in air pollutant concentrations from March 20, 2020 to March 20, 2021."
186,What data is provided in Table F.1 and Figs. F.1 and F.2?,"Table F.1 and Figs. F.1 and F.2 provide data on the air quality in Tehran, as derived from the 10th Tehran Annual Air and Noise Quality Report.QI categories (Tehran Annual Air and Noise Quality Report, period of March, 2020 - March 2021)"
187,What is the meaning of DCv in the nomenclature?,DCv stands for decreasing concave.
188,What is the air pollution level associated with AQI 151 - 200?,The air pollution level associated with AQI 151 - 200 is unhealthy.
189,What is PM (Particulate Matter)?,PM (Particulate Matter) is the most critical air pollutant that is present in the atmosphere.
190,What is the abbreviation for International Renewable Energy Agency?,The abbreviation for International Renewable Energy Agency is IRENA.
191,What type of energy is Solar Energy?,Solar Energy is a renewable energy source.
192,What is the reference used in this article?,"References used in this article include Abas, Kalair, Khan, Adam, Apaydin, Ahmad Ludin, Alarcon, Aguado, Manga, Josa, and Al-Waeli, Sopian, Kazem, and Chaichan.ppl. Energy"
193,What was the resolution adopted by the United Nations General Assembly in 2005?,The United Nations General Assembly adopted Resolution A/RES/60/1 in 2005.
194,What is the title of the paper by Assoa et al. published in 2017?,The title of the paper by Assoa et al. published in 2017 is "Development of a Building Integrated Solar Photovoltaic/Thermal Hybrid Drying System".
197,What is the title of the fourth paper mentioned?,The fourth paper mentioned is titled "Performance Evaluation and Techno-Economic Analysis of a Novel Building Integrated PV/T Roof Collector
198,What institution published the 1954 paper about solar heating of buildings?,"The 1954 paper about solar heating of buildings was published by the University of California, Berkeley, CA, USA, Solar Energy Group."
203,What is the title of the first article?,The title of the first article is " 2021. Techno-economic perspectives of the temperature management of photovoltaic (PV) power plants
204,What is the main focus of the second article?,The main focus of the second article is the use of photovoltaic–thermal (PV/T) technology and its applications and advancements.
205,"Who published the Environmental, Health and Safety Guideline for Photovoltaic Solar Power Plants?","The Presidency Islamic Republic of Iran-Plan and Budget Organization published the Environmental, Health and Safety Guideline for Photovoltaic Solar Power Plants."
206,What is the title of the article written by Faraca and Astrup in 2019?,The title of the article written by Faraca and Astrup in 2019 is "Plastic waste from recycling centres
209,What are the main findings of the research article by Fredericks et al. (2005)?,The research article by Fredericks et al. (2005) found that occupational injuries and fatalities were occurring in the roofing contracting industry.
210,What year was the research article by Fredericks et al. (2005) published?,The research article by Fredericks et al. (2005) was published in November 2005.
211,What is the DOI of the article "A decision-support system for sustainable urban metabolism in Europe"?,The DOI of the article is 10.1016/j.eiar.2012.06.007.
212,What type of energy systems are discussed in the article "Solar energy for net zero energy buildings"?,"The article discusses solar thermal, PV, and photovoltaic–thermal (PV/T) systems."
213,What is the DOI of the Solar Cell Efficiency Table (Version 55)?,The DOI of the Solar Cell Efficiency Table (Version 55) is https
214,What is the DOI of the 2009 study of Activity-Based Safety Risk Quantification for Concrete Formwork Construction?,The DOI of the 2009 study of Activity-Based Safety Risk Quantification for Concrete Formwork Construction is https
215,What is the source of information regarding Heating - Fuels & Technologies?,The source of information regarding Heating - Fuels & Technologies is the International Energy Agency (IEA).nswer
216,What is IHS Markit?,IHS Markit is a leading source of critical information.
217,What is Energy Procedia?,Energy Procedia is a journal that published a paper about the exergy and economic evaluation of a commercially available PV/T collector for different climates in Iran.
218,What is the title of the journal mentioned in the reference?,The title of the journal is 'J. Constr. Eng. Manag.'
219,What is the main focus of the article?,The main focus of the article is Risk Assessment in Construction.
220,What is multi-criteria decision-making model?,"Multi-criteria decision-making model is a structured method used to assess various alternatives against multiple criteria such as cost, sustainability, and effectiveness to make an optimal decision."
221,What is the purpose of the life cycle assessment study of solar PV systems?,The life cycle assessment study of solar PV systems is used to measure the environmental impact of photovoltaic systems during their entire life cycle from production to end-of-life.
222,What is the DOI of the article "ISO 14043,The DOI of the article "ISO 14043
223,What is the aim of the article "Occupational Risk Index for Assessment of Risk in Construction Work by Activity"?,
224,What is SWOT Analysis?,"SWOT Analysis is a strategy used to discover new opportunities and identify, manage and eliminate threats in a given situation."
225,What is multi-criteria decision making?,Multi-criteria decision making is a process that helps to evaluate and compare alternative options of a given problem based on a set of criteria.
226,What benefits can solar panels have?,Solar panels can reduce global warming and urban heat island effects.
227,What is the purpose of PV self-consumption policies?,PV self-consumption policies are used to provide incentives to promote the adoption of
228,What technologies form the basis of solar photovoltaic systems?,"Solar photovoltaic systems are based on photovoltaic cells, which convert sunlight into electricity."
229,How can roof top installations of solar photovoltaic systems reduce CO2 emissions?,Roof top installations of solar photovoltaic systems can reduce CO2 emissions by providing an alternative to conventional electricity generation sources.
230,What are the contributions of Munari Probst et al (2013) on Solar Energy Systems in Architecture?,Munari Probst et al (2013) have provided criteria and guidelines for better integration of solar energy systems in architecture.
231,What was the focus of Najafi et al (2015) on solar energy in Iran?,Najafi et al (2015) have focused on the current state and outlook of solar energy in Iran.
232,What are the various topics being discussed in the articles?,"The topics discussed in the articles include energy, environment and sustainable development, environmental knowledge and attitudes and behaviors towards energy consumption, Photovoltaic waste assessment in Italy, solar photovoltaic technologies, building-integrated photovoltaics (BIPV) in architectural design in China, and building integrated photovoltaic products."
233,How can building integrated photovoltaics (BIPV),
236,What is the title of the first publication?,The first publication is titled “TOWARDS A NEW INTERACTIVE TOOL OF RESOURCES FOR ACTIVE LEARNING IN UNIVERSITY LARGE GROUPS’ LECTURES.”
237,What is the main topic of the last publication?,The last publication is titled “An Improved Fractional Voltage Based MPPT Technique for PV Generation System.”
238,What is the publication title of Dr. Saaty's article?,The publication title is "How to make a decision
239,What is the publication title of Sadeghi and Kalantar's article?,The publication title is "Allocation of Solar Units to Reduce Annual Costs of the Distribution System".
