id,Question,Answer
26,What does the SWOT method focus on?,"The SWOT method focuses on both internal and external factors, such as strengths, weaknesses, opportunities, and threats."
27,What is the GIVES methodology?,GIVES is a multi-attribute utility theory from the 21st century based on the multi-attribute utility theory.
28,What is the key advantage of using GIVES?,"The key advantage of GIVES is its ability to add up different indicators' resulting values, which also allow for integration of uncertain analysis into evaluation."
29,What contexts has GIVES been previously applied successfully to define and apply comprehensive sustainability assessment tools?,"GIVES has been applied to define and apply comprehensive sustainability assessment tools in a variety of case studies containing architecture and building construction contexts (Pons et al., 2,016; Pons et al., 2,019)."
30,How has the GIVES model been validated in the current study?,The GIVES model has been validated in the current study by relying on the GIVES applications which have been satisfactorily carried out previously and by applying the developed model as an eligible tool for the first time to the specific case.
32,What is found at each level of the decision tree?,"The first level of the decision tree consists of the most general and qualitative issues - requirements - that incorporate the three basic sustainability pillars, the middle level consists of the criteria for structuring the plan, and the last level consists of the most specific and quantitative parameters - indicators."
33,What are the five steps of the procedure for determining the SI's of each alternative?,"The five steps of the procedure for determining the SI's of each alternative include DT designing, tendency definition (increasing or decreasing), Min and Max point determinations, shape definition for VFS, and mathematical expression utilization."
34,How are weights or relative importance coefficients calculated for each branch of the DT?,"Weights or relative importance coefficients for each branch of the DT are calculated by calculating the weights for each requirement, then within each requirement, weights for the related criteria are determined, and then a similar procedure is used for each criterion to determine the relevant indicators' weights."
35,Who are the experts in the principal panel?,"The experts in the principal panel consist of a professor founder of the architectural technology field in Iranian academic organization; a deputy and a consultant from the Tehran mayor’s office in urbanization and urban services fields; six senior managers from the Tehran city government in the fields of architecture & construction, codification of rules & regulations, construction supervision, detailed urban plans, urban planning, and environmental organization; a researcher from the Tehran Urban Research & Planning Center; and two leading experts from the Tehran municipality in the field of sustainable development."
40,What are the factors I used in Equation (1)?,"Factors I used in Equation (1) refer to indicators, criteria, and requirements weights when calculating criteria values, requirements values, and global sustainability indexes, respectively."
41,What is the general expression of the GIVES VF?,The general expression of the GIVES VF is shown in Equation (2).
42,What type of forms can VFS take?,"VFS can take on a variety of forms, including concave, linear, convex, and S-shaped."
43,What is the purpose of the parameter definition in Table 1?,The parameter definition in Table 1 is to shape value functions.
44,What is meant by the Minimax parameter?,The Minimax parameter is the assessed indicator's minimum and maximum abscissa values.
45,What is the contribution of GIVES to the new tool in this study?,The contribution of GIVES to establish the proposed new tool in this study is served in the corresponding section 3.3.
47,What is the main objective of PV technology?,The main objective of PV technology is to capture solar energy to directly generate electricity.
48,"What was the observation made by Alexandre-Edmund Becquerel in 1,839?",Alexandre-Edmund Becquerel observed the photovoltaic effect which absorbs photons and releases free electrons through a light-absorbing material presented within the cell structure.
49,What factors affect the efficiency of solar systems?,"Solar radiation intensity, total horizontal irradiance on the screen surface, ambient temperature, panel surface area, electronic converter efficiency and solar cell efficiency."
50,When did the first generation of solar cells achieve 6% efficiency?,"The first generation of solar cells achieved 6% efficiency in the late 1,940s."
51,What are the main solar cell types?,"The main solar cell types are crystalline, thin film, and nanotechnology."
52,What are the positive parameters to define the module performance?,Positive parameters to define the module performance are efficiency and fill factor.
53,What is the ratio of the highest power (that solar PV can generate) to the input power (from the sunlight radiation) called?,This ratio is called efficiency.
54,What is the ratio of maximum power to the theoretical power called?,This ratio is called fill factor.
55,What is the basic concept of PV/T systems?,The basic concept of PV/T systems is to use the waste heat from solar cells that is generated when most of the incident sunlight is converted into heat.
56,How does the use of thermal collectors improve the power generation efficiency of PV modules?,The use of thermal collectors can reduce the temperature of the PV modules and thus enhance their durability and improve power generation efficiency.
57,What is the total efficiency of PV/T systems?,The total efficiency (ET) of PV/T systems is obtained from the aggregation of electrical efficiency (Elle) and thermal efficiency (ETH).
58,How does the temperature of solar cells affect their electrical efficiency?,The high temperature of solar cells decreases their electrical efficiency as far as the increase in PV cell temperature – higher than 25 BC – causes a nearly 0.45% decrease per BC.
59,What are the potential impacts of hybrid PV/T systems?,"Hybrid PV/T systems have potential benefits such as space usage optimization, roof architectural uniformity, installation cost and time reduction, smaller raw materials' consumption, and low maintenance requirements."
60,What are the drawbacks of PV/T technology?,"The main drawbacks of PV/T technology include the high initial cost, limited commercial and market potential, low degree thermal output, lack of energy generation stability, and weakness of benefits awareness."
61,What accounts for approximately one third of global energy use and one fifth of global GHG emissions?,The building industry.
62,When did solar PV technology start being used on buildings?,"In the 1,970s."
63,What is peak kilowatts (chip)?,Peak kilowatts (chip) is a measure of the expected delivery of electrical power in case the sun is directly located overhead on a clear day.
64,What components make up PV systems?,"PV systems are made up of cells, connections, and devices for modifying the output electricity."
65,What is an on-grid system?,"An on-grid system is a small solar power plant composed of a PV array, which is a full power generation system made up of numerous photovoltaic panels and modules."
66,What are the two approaches for buildings to utilize PV/PVT technology?,The two approaches for buildings to utilize PV/PVT technology are building attached photovoltaic/thermal-photovoltaic (APV/BAP VT) and building integrated photovoltaic/thermal-photovoltaic (BIPM/BIT).
69,What is the importance of angle of panels when it comes to removing snow loads?,The proper angle of panels can usually remove snow loads.
70,What are the effects of shading on maximum exposure to solar radiation?,"The most important effect of shading results in the prevention of receiving maximum exposure to the sun – and consequently, energy efficiency losses – that occur in the case of horizontal shading."
71,What effect does creating a separation between panels and nearby walls have on efficiency?,Creating a separation between panels and nearby walls can increase efficiency via creating air circulation to move heat away from solar cells.
75,What is the land area of Tehran?,Tehran has a land area of 615 square kilometres.
76,What is the average daily solar radiation in Tehran?,The average daily solar radiation is 5.3 kWh/m2.
77,What are the most critical aspects connected to air pollution in Tehran?,"Population growth, industrialization, urbanization, and increases in fossil fuel use are the most critical aspects connected to air pollution in Tehran."
78,How many sunny days does Iran usually receive each year?,"Iran usually receives between 1,800-2,400 kWh/m2 of solar irradiance each year."
79,What are the main provider sources of electrical energy in Iran?,"The main provider sources of electrical energy in Iran are fossil fuels (94 %), while hydro generates nearly 6 % and other renewable energy resources produce less than 1 %."
80,What is the average solar radiation in Iran?,"The average solar radiation in Iran is 1,800–2,200 kWh/m2."
81,What goals has the Iranian government prioritized within its five-year development plan frameworks?,The Iranian government has prioritized renewable energy development and CO2 emission reduction as key goals within its fifth and sixth five-year development plan frameworks.
82,What are some of the support policies that have been adopted to develop PV technologies in Iran?,"Some of the support policies that have been adopted to develop PV technologies in Iran are revised FIT, national development funds to finance renewable energy projects, budget to purchase electrical energy from renewable resources, and job creation support in this field."
86,What is the main reason for this study focusing on APV/BAP VT systems rather than BIPM/BIT?,The main reason is that Tehran's mostly flat rooftops could not take advantage of BIPM/BIT capability of adapting to more irregular surfaces such as complex shaped façades and pitched roofs.
87,Why are grid-connected solar generators favoured in buildings instead of stand-alone/off-grid ones?,"Grid-connected solar generators are favoured due to the Iranian government policies, incentives, and subsidies."
88,What project does this paragraph focus on?,This paragraph focuses on a project involving mono-crystalline (m-Si) technology for PV systems.
89,Why is mono-crystalline (m-Si) technology for PV systems used for this project?,This technology is used for this project because it is the most commonly available in the market and achieves the highest performance in terms of efficiency and fill factor.
90,What type of solar system is considered in this research project?,The solar system in this research project is considered a flat plate.
91,What are some advantages of a flat plate solar system?,"Advantages of a flat plate solar system include higher availability on the market, lower initial and maintenance cost, and an uncomplicated mechanism compared to concentrator collectors."
94,What is the expected lifetime of project expectancy?,The expected lifetime of project expectancy is 25 years on average.
95,What is the minimum efficiency of Silicon crystalline PV modules according to Iranian requirements and policies?,The minimum efficiency of Silicon crystalline PV modules is expected to be 16 % according to Iranian requirements and policies.
96,What is the maximum allowed capacity for the subscribers allocated generators?,The maximum allowed capacity for the subscribers allocated generators is up to twice their connection capacity – and will be a maximum of 100 kW.
97,How can a PV array be mounted to achieve optimum performance throughout the year?,A PV array should be mounted at nearly the location latitude angle towards the south to achieve optimum performance throughout the year.
98,What type of PV system is being employed in this current project?,"The PV system employed in the current project is a APV/BAP VT, on-grid, flat plate system composed of m-Si PV panels, water-based and uncovered PV/T."
99,What other components are included in the studied PV array?,"The studied PV array includes a 5-kWp domestic power plant, copper absorbing plate, copper fluid flow pipes, polyurethane insulation, and 1 mm galvanized iron back end cover."
100,What is the solar irradiance abundance in Tehran?,"Solar irradiance abundance in Tehran is due to the climatic condition (Firouzjah, Oct. 2,018; Khosravi et al., Feb. 2,018)."
102,What are the potential benefits of the fast and upward technological advancement to improve efficiency and reduce the cost of modules?,These advancements can help reduce the cost of modules and increase efficiency in order to achieve better performance.
106,What is the SWOT matrix that analyses the feasibility of APV and APV/T for residential buildings in Tehran?,The SWOT matrix that analyses the feasibility of APV and APV/T for residential buildings in Tehran are based on a simplified literature review as well as experts’ panel contributions.
108,What role can solar systems have in micro/macro climatic changes?,"Solar systems can have different roles in micro/macro climatic changes, affected by different parameters such as energy conversion, making shadow space on the Ceil, decreasing domestic fossil fuels combustion, etc."
109,What performance indicator is used to evaluate the investment profitability over a time period?,"The performance indicator used to evaluate the investment profitability over a time period is the one maintained, which had been discarded in the previous GR study."
110,What are the three indicators included in the criterion Cost (C1)?,"I1) Implementation cost, (I2) Maintenance cost, and (I3) Return on Investment (ROI)."
111,What does (I1) Implementation cost comprise?,"I1) Implementation cost includes panel pieces, electrical and mechanical accessories, and connections costs, as well as labour and skilled workers’ salaries."
112,What are the maintenance costs estimated for the solar system?,"The maintenance cost has been estimated to encompass costs of expected activities such as cleaning of panels' surface, inspection, and accessories replacement for a 25-year life service."
113,What is the average capital cost to mount each square metre of the solar system?,The average capital cost to mount each square metre of this solar system has been estimated.
114,What is the role of climatical shading effect in PV panel installation?,"The climatical shading effect such as cloudy times should be considered when installing PV panels, as it affects the efficiency of the investment over the 25-year service time of the PV panels."
115,What is Weighted Average Cost of Capital (WAC)?,"Weighted Average Cost of Capital (WAC) is a metric used to measure the cost of capital in mature renewable energy markets, which has improved and declined in the recent decade due to very low-risk premiums."
116,"What is the WAC for non-OECD countries, except for China, for utility-scale renewable power generation technologies?","The WAC for non-OECD countries, except for China, for utility-scale renewable power generation technologies is 7.5%."
117,What is the exchange rate used to determine from Rials to Euros?,The exchange rate used to determine from Rials to Euros is the Iranian Central Bank’s official rate.
118,What is the indicator that takes into account the hours for installation activities?,The indicator that takes into account the hours for installation activities is the Implementation Time (C2).
120,What is an advantage of using the Inventory of Carbon and Energy (ICE) database?,"The ICE database provides favourable advantages compared to others and follows a cradle-to-gate (factory) scope known as module A1–A3 in the EU-wide standards, EN 15,804 and EN 15,978 on the construction field sustainability assessment."
124,How is the CO2 balance calculated?,The CO2 balance is calculated by determining the difference between the amount of CO2 saved/reduced via renewable energy generation during the service time and the amount of CO2 emitted during the fabrication of PV/PVT panels.
127,"What emission factor does EEP/EEA air pollutant emission inventory guidebook 2,019 use?","EEP/EEA air pollutant emission inventory guidebook 2,019 use an emission factor of 0.9 g/GJ for public electricity production using natural gas, and 0.2 g/GJ for residential boilers burning natural gas."
128,What is the PM reduction indicator intended to measure?,The PM reduction indicator is intended to measure the capacity of each square meter of solar panels to reduce ambient PM via energy production potential.
131,What is ORI derived from?,"ORI is derived by Equation (8), where Orin is the ORI of risk, Pi is the occurrence probability, Ci is the consequence severity, and EI is the risk exposure."
133,"What is the product of frequency, severity, and exposure?","The product of frequency, severity, and exposure determines the cumulative risk."
134,How is frequency usually measured?,Frequency is usually measured in incident rates.
135,What are the most frequent injuries in electrical works especially under wet conditions?,Hand and back injuries due to hand contact with sharp parts and handling of loads such as solar panels and structural supports are the most frequent injuries in electrical works especially under wet conditions.
136,What is considered one of the most usual dangers as a general risk on construction sites?,Falling to a lower or the same level is considered one of the most usual dangers as a general risk on construction sites.
137,What two indicators make up the Compatibility (C6) measure?,The two indicators that make up the Compatibility (C6) measure are Customization Potential (I11) and Adaptability to Change (I12).
138,What parameters does Adaptability to Change (I12) take into consideration?,"Adaptability to Change (I12) takes into consideration parameters such as potential of disassembling, replacement, ability to move, and access to service."
140,What materials make up Iranian PV modules?,"Iranian PV modules consist of 76% glass, 10% polyethylene, 8% aluminium, 5% silicon, and less than 1% of other materials."
141,What are the parameters associated with the VF of each indicator?,"The parameters associated with the VF of each indicator are Min, Max, C, K, and P."
142,What are the shapes of functions used in this study?,"The shapes of functions used in this study are six decreased, including three convex functions (DCC), one concave (CV), one linear (DL), and one S-shaped (DS); six increased, including four concave functions (Ice) and two S-shaped ones (IS)."
143,How does each graph depict the value function?,"Each graph indicates the abscissa between the minimum and maximum satisfaction values for assessed alternatives, as well as the VF’s shape and relevant coefficient parameters (P, K, and C)."
144,What are the most significant drawbacks of APV?,The most significant drawback is inadequate energy generation efficiency.
145,What is an advantage of APV/T compared to APV?,APV/T provides more appropriate performance concerning the air pollution reduction issue by obtaining a higher satisfaction value for the emissions' criterion.
146,What is the most important GHG in this case study?,CO2 is the most important GHG in this case study.
147,What is the PM reduction potential of APV and APV/T?,"The PM reduction potential of APV and APV/T is 1.2 and 1.9 g PM/m2 per year, respectively."
148,What are the sources used to obtain the data for the indicators assessed?,"Different sources have been used to obtain the data for the indicators assessed, such as international databases (ICE and EEP/EEA) and case studies."
149,What are the economic benefits of solar systems?,"Solar systems have lower operation and maintenance costs, as well as potentially higher returns on investment, which can compensate for its higher initial capital costs."
150,What are the two approaches taken into account to develop SI's?,The two approaches taken into account to develop SI's are financial and technical contexts.
151,What limitations are present in the current study?,The limitation present in the current study is the lack of a comprehensive national database.
154,What is the expected benefit from installing a APV/T installation?,The expected benefit is an increase in the APV/T index value up to 60.5% and more environmental benefits with a higher potential to reduce air pollution.
155,What is the feasibility of proposing a subsidy for private solar systems?,"The feasibility of proposing a subsidy for private solar systems is high since the amounts of generated electricity and produced thermal energy have linear relation together, the electrical and thermal efficiency of each system is known, and SAMBA certified companies are allowed to install and inspect private solar systems."
156,What are the advantages of using an organic solar cell?,"Organic solar cells have significantly higher SI's, require a small amount of material, have a higher energy and CO2 balance, lower waste disposal and CPBT, have mechanical flexibility that can improve customization potential, and provide a cost-effective manufacturing process."
157,What are the advantages of using organic materials for organic solar cell production?,"Organic materials are low-cost raw materials with limited technical challenges for production, which can lead to further improvement of the cost criterion."
160,What are the components of the model designed by the authors?,"The model designed by the authors incorporates GIVES, SWOT, HP, and sensitivity analysis."
161,What distinguishes solar systems as more environmentally friendly solutions than GRS?,"Solar systems have a remarkable CO2 saving potential and energy production capability, which distinguishes them as more environmentally friendly solutions than GRS."
162,What is the overall sustainability value earned by APV?,The overall sustainability value earned by APV is 60.47%.
163,How much reduction in PM emissions can APV/T provide?,APV/T can provide a reduction of 1.9 g PM/m2 per year.
164,What is crystalline silicon?,Crystalline silicon is the first generation of PV technology that consists of single-junction crystal solar cells based on silicon wafers.
165,What is the purpose of the multidisciplinary experts from the seminars?,The purpose of the multidisciplinary experts from the seminars was to provide their input and expertise to the research reported in this paper.
166,What are the two PV types generally categorized?,The two PV types generally categorized are mono/single (m-Si) and poly/multicrystalline (p-Si).
167,What is the most common PV type?,"The most common PV type is mono-crystalline, accounting for nearly 66% of the whole production."
168,What materials are utilized in thinner films in thin-film technology?,"Thin-film technology utilizes thinner films produced via the deposition of thin layers on glass or stainless-steel substrates, using sputtering tools."
169,What are the effects of thin-film technology when compared to c-Si cells?,"Although thin-film technology has improved efficiency significantly, since its layers are much thinner and contain less photovoltaic material, the light absorption is reduced and consequently results in lower conversion efficiency compared with c-Si cells."
172,What is nanotechnology used for in Third-generation PV technologies?,"Nanotechnology is used for low-cost but low efficiency PV cells, in order to improve efficiency, such as nanotubes, quantum dots, and hot-carrier solar cells that can absorb more solar radiation."
173,"Who was awarded the 2,010 millennium technology prize?","Michael Gravel was awarded the 2,010 millennium technology prize for his invention of dye-sensitized solar cell (DSSC)."
174,What are the advantages of using organic solar cells?,"The advantages of using organic solar cells include disprovability, mechanical flexibility, affordability of the manufacturing process, high optical absorption coefficient of organic molecules, and the ability to absorb a large amount of solar radiation with a small amount of material."
175,Why is this technology not suitable for outdoor usage?,This technology is not suitable for outdoor usage because the volatile solvents in the electrolyte can permeate across plastic and result in sealing and potential environmental hazards problems.
176,What are the main challenges associated with OSC?,"The main challenges associated with OSC are low efficiency, low strength, and low stability compared with the others, such as silicon solar cells."
177,What are the two categories of conventional flat plate PV/T collectors?,The two categories of conventional flat plate PV/T collectors are liquid-based and air-based types.
178,What is the difference between air-based and water-based PV/T systems?,"Water-based PV/T systems have higher and more stable overall thermal and electrical performance compared with air-based systems due to its higher heat-carrying capacity, density, and conductivity."
179,What are the advantages of unglazed PV/T collectors?,"Unglazed PV/T collectors have higher total efficiency and are beneficial in economic terms. Additionally, they enable PV surfaces to stay cool which results in a longer life service."
180,What are the current studies optimizing the performance and development of PV/T systems?,"Several studies in progress are optimizing the performance and development of conventional PV/T systems (Barone et al., Jul. 2,019; Bathe and Double, Sep. 2,017)."
181,What are some advanced concepts of PV/T technology?,"Some recent research projects have introduced a few advanced concepts of PV/T technology, such as nanofluid, phase change materials (PCM), and heat pump integration systems (Diana et al., Mar. 2,020; Via et al., Mar. 2,019; Bathe and Double, Sep. 2,017)."
182,"What is the CO2 saving and emission rate reported in the ICE database (Hammond et al., 2,011)?","5,277 Po's. KgCO2 /m2."
183,"What is the GHG impact compensation speed reported in a literature review (Tripanagnostopoulos et al., May 2,005; Torpor and Judah, Jul. 2,015)?",1.1 Neg. Year.
185,What is Tehran Annual Air and Noise Quality Report?,"The Tehran Annual Air and Noise Quality Report is a comprehensive assessment of Tehran’s air quality, providing information on the spatial and temporal variations in air pollutant concentrations from March 20 2,020 to March 20 2,021."
187,What is the meaning of CV in the nomenclature?,CV stands for decreasing concave.
188,What is the air pollution level associated with AQI 151 - 200?,The air pollution level associated with AQI 151 - 200 is unhealthy.
189,What is PM (Particulate Matter)?,PM (Particulate Matter) is the most critical air pollutant that is present in the atmosphere.
190,What is the abbreviation for International Renewable Energy Agency?,The abbreviation for International Renewable Energy Agency is IRENA.
191,What type of energy is Solar Energy?,Solar Energy is a renewable energy source.
193,"What was the resolution adopted by the United Nations General Assembly in 2,005?","The United Nations General Assembly adopted Resolution A/RES/60/1 in 2,005."
198,"What institution published the 1,954 paper about solar heating of buildings?","The 1,954 paper about solar heating of buildings was published by the University of California, Berkeley, CA, USA, Solar Energy Group."
204,What is the main focus of the second article?,The main focus of the second article is the use of photovoltaic–thermal (PV/T) technology and its applications and advancements.
205,"Who published the Environmental, Health and Safety Guideline for Photovoltaic Solar Power Plants?","The Presidency Islamic Republic of Iran-Plan and Budget Organization published the Environmental, Health and Safety Guideline for Photovoltaic Solar Power Plants."
209,"What are the main findings of the research article by Fredericks et al. (2,005)?","The research article by Fredericks et al. (2,005) found that occupational injuries and fatalities were occurring in the roofing contracting industry."
210,"What year was the research article by Fredericks et al. (2,005) published?","The research article by Fredericks et al. (2,005) was published on November 2,005."
211,"What is the DOI of the article ""A decision-support system for sustainable urban metabolism in Europe""?","The DOI of the article is 10.1,016/j.ear.2,012.6.7."
212,"What type of energy systems are discussed in the article ""Solar energy for net-zero energy buildings""?","The article discusses solar thermal, PV, and photovoltaic–thermal (PV/T) systems."
216,What is IHS Market?,IHS Market is a leading source of critical information.
217,What is Energy Propaedia?,Energy Propaedia is a journal that published a paper about the energy and economic evaluation of a commercially available PV/T collector for different climates in Iran.
219,What is the main focus of the article?,The main focus of the article is Risk Assessment in Construction.
220,What is multi-criteria decision-making model?,"Multi-criteria decision-making model is a structured method used to assess various alternatives against multiple criteria such as cost, sustainability, and effectiveness to make an optimal decision."
221,What is the purpose of the life cycle assessment study of solar PV systems?,The life cycle assessment study of solar PV systems is used to measure the environmental impact of photovoltaic systems during their entire life cycle from production to end-of-life.
224,What is SWOT Analysis?,"SWOT Analysis is a strategy used to discover new opportunities and identify, manage and eliminate threats in a given situation."
225,What is multi-criteria decision-making?,Multi-criteria decision-making is a process that helps to evaluate and compare alternative options of a given problem based on a set of criteria.
226,What benefits can solar panels have?,Solar panels can reduce global warming and urban heat island effects.
228,What technologies form the basis of solar photovoltaic systems?,"Solar photovoltaic systems are based on photovoltaic cells, which convert sunlight into electricity."
229,How can rooftop installations of solar photovoltaic systems reduce CO2 emissions?,Rooftop installations of solar photovoltaic systems can reduce CO2 emissions by providing an alternative to conventional electricity generation sources.
230,"What are the contributions of Lunar Probit et al. (2,013) on Solar Energy Systems in Architecture?","Lunar Probit et al. (2,013) have provided criteria and guidelines for better integration of solar energy systems in architecture."
231,"What was the focus of NAAFA et al. (2,015) on solar energy in Iran?","NAAFA et al. (2,015) have focused on the current state and outlook of solar energy in Iran."
232,What are the various topics being discussed in the articles?,"The topics discussed in the articles include energy, environment and sustainable development, environmental knowledge and attitudes and behaviours towards energy consumption, Photovoltaic waste assessment in Italy, solar photovoltaic technologies, building-integrated photovoltaics (BIPM) in architectural design in China, and building integrated photovoltaic products."
239,What is the publication title of Sanofi and Plantar's article?,"The publication title is ""Allocation of Solar Units to Reduce Annual Costs of the Distribution System""."
240,What is the DOI of the paper “Distribution company investment cost reduction analysis with grid-connected solar PV allocation in power distribution system”?,"The DOI of the paper is 10.12,720/GCE.9.1.230-235."
242,What is the aim of the review on design of building integrated photovoltaic system?,The aim of the review is to provide an in-depth understanding of different aspects of building integrated photovoltaic system design.
243,What is the purpose of the article on Life Cycle Assessment (LCA) of Hybrid Photovoltaic/Thermal (PV/T) solar systems?,The purpose of the article is to perform an experimental study and Life Cycle Assessment (LCA) of Hybrid Photovoltaic/Thermal (PV/T) solar systems for domestic applications.
248,What type of systems were studied in the numerical and experimental investigation in the north of Iran?,Hybrid PV/thermal systems were studied in the numerical and experimental investigation in the north of Iran.
251,What is one of the applications of solar energy?,The solar water-heating (SWH) system is one of the most convenient applications of solar energy.
252,What makes solar energy an attractive energy source?,"Solar energy is considered an available, economical, and environmentally friendly energy source."
257,What sources of renewable energy have been considered the most sustainable?,Solar energy has been considered the most sustainable renewable energy source due to its extensive domestic and industrial applications.
258,"What can be predicted about the world's fossil fuel reserve by 2,050?","It can be predicted that the world's fossil fuel reserve will be diminished by 2,050."
259,What temperature range is suitable for solar energy-based applications?,Solar energy-based applications can conveniently be utilized in the temperature range of 60–280 BC.
260,What is the purpose of a transmission media in a SWH system?,"In the SWH system, a transmission media like water, air, glycol, hydrocarbon, and other nanofluids act as a working fluid."
265,What are the novel thermal characteristics of nanofluids?,The novel thermal characteristics of nanofluids have reported a strengthened thermal conductivity in solar thermal collector and direct solar distillation.
266,What are the developments of nanoparticles-based solar-powered desalination processes?,"There are several developments of nanoparticles-based solar-powered desalination processes (SPDP), which states the enhancement of thermal performance by incorporating nano particles."
267,What are some limitations introduced by using SWH systems?,"Some limitations introduced by using SWH systems include greenhouse gas emission, energy efficiency, and cost."
268,What are the different applications of SWH systems?,"Some applications of the SWH system includes residential, hydraulic space heating installations, solar space heating, commercial and industrial applications."
269,What percentage of the energy requirement for water heating and cooling applications comes from fossil fuel?,84% of the energy requirement for water heating and cooling applications comes from fossil fuel.
270,What is known as the most economical and acceptable model of solar energy catchment?,Solar Water Heating (SWH) is known as the most economical and acceptable model of solar energy catchment.
275,What angle was the solar-collector inclined?,The solar-collector was inclined at a 37◦ angle.
276,How did an increase in angle from 15◦ to 25◦ effect the thermal performance of the collector?,An increase in angle from 15◦ to 25◦ improved the thermal performance of the collector from 27% to 30%.
279,What is the material used to make the absorber plate?,The absorber plate is made of highly selective materials.
280,What is maintained between the absorber plate and the glass cover?,A small space is maintained between the absorber plate and the glass cover.
281,What percentage of sunshine is captured in FPC?,Around 80% of sunshine is captured in FPC.
282,What has researchers recently focused on regarding PCs?,"Researchers have recently focused on the progress, development, and design of PCs."
283,What is the thermal efficiency of a classic FPC?,The thermal efficiency of a classic FPC is between 50.49% and 71.5%.
284,What are the main components of a classic FPC?,The main components of a classic FPC are a glazing and a dark-coloured absorber plate.
285,What are some examples of ETC's?,"Instantaneous gas heaters, solar pre-heaters, and integrated single solar tank systems are some examples of ETC's."
286,What components make up an ETC?,"Generally, an ETC consists of copper heat pipes for rapid heat transport, evacuated tubes to reduce heat dissipation, and an aluminium casing to supply robustness and structural integrity to the system."
287,What are the two designs introduced to address the limitations of ETC's?,The two designs introduced to address the limitations of ETC's are the heat pipe ETC and the U tube ETC.
288,What was suggested for desalting saline water more conveniently than a conventional solar distillation unit?,"Tubular collector-based assisted solar still was suggested for desalting saline water more conveniently than a conventional solar distillation unit regarding energy, environ–economic and economic perspectives."
289,What is the significance of the shape of the glass ETC?,"The shape of the glass ETC is important in terms of absorbing more energy, increasing thermal efficiency and inhibiting radiation heat losses."
290,What are the thermal conductivity of the filling layer in ETC's?,The thermal conductivity of the filling layer in ETC's is about 0.1 kW/m-K (Kilowatt per meter-kelvin).
293,What is the maximum working temperature of a CPC?,The maximum working temperature of a CPC is 150⁰C.
294,What is the first concept of CPC?,The first concept of a CPC was introduced as a non-imaging type of concentrator.
